state,name,lon,lat,region,ID,cluster
OR,Leaning Juniper II,-120.16848799999998,45.678894,NW,29825,1
WA,Marengo II,-117.86188500000002,46.352295,NW,33228,1
WA,Vantage Point,-120.213783,46.953495,NW,58411,2
MT,Big Timber,-109.666306,45.83541500000001,NW,4040,4
WY,High Plains,-105.982491,41.675392,NW,23841,0
OR,Vansycle I,-118.607964,45.924561,NW,58291,1
WY,Dunlap,-106.211891,42.042591,NW,15641,0
ID,Milner Dam,-114.018089,42.458294,NW,35491,7
WY,Dunlap,-106.152992,42.016495,NW,15676,0
OR,Biglow Canyon III,-120.588486,45.622494,NW,4250,1
WA,Big Horn,-120.232086,45.883194,NW,3694,1
OR,Leaning Juniper II,-120.283989,45.658592,NW,29904,1
MT,Two Dot,-110.090691,46.455093,NW,57985,4
OR,Leaning Juniper II,-120.170189,45.595795,NW,29902,1
MT,Big Timber,-109.648552,45.823952,NW,4041,4
OR,Star Point,-120.429085,45.525696,NW,53367,1
WY,Dunlap,-106.209488,42.027294,NW,15665,0
WY,Top of the World,-105.78708600000002,42.916294,NW,56646,6
WA,Wild Horse II,-120.233284,47.056194,NW,60355,2
WA,Stateline Wind Project,-118.821487,46.036293,NW,53765,1
OR,Hay Canyon,-120.586784,45.507793,NW,23141,1
OR,Klondike III,-120.518486,45.607494,NW,28536,1
WA,Windy Point II,-120.761383,45.724995,NW,61167,1
ID,Meadow Creek,-111.810486,43.537395,NW,33701,5
OR,Biglow Canyon II,-120.646187,45.665592,NW,4199,1
MT,Glacier Wind II,-112.218788,48.540092,NW,19513,3
OR,South Hurlburt,-120.063889,45.700993,NW,52209,1
WY,Top of the World,-105.737289,42.953293,NW,56704,6
OR,"Condon Wind Project, phase I",-120.273384,45.249992,NW,13096,1
ID,Rockland,-112.95018799999998,42.673492,NW,47169,7
OR,Stateline Wind Project,-118.770515,45.992397,NW,53801,1
OR,Rattlesnake Road,-120.226089,45.708794,NW,45684,1
WA,Stateline Wind Project,-118.858887,46.024796,NW,53797,1
WA,Palouse,-117.324684,47.102196,NW,40717,12
WY,Seven Mile Hill I & II,-106.38369,41.944893,NW,50266,0
ID,Rockland,-112.873886,42.702393,NW,47163,7
OR,Stateline Wind Project,-118.808083,45.995293,NW,53691,1
MT,Spion Kop,-110.621086,47.348694,NW,53082,8
OR,Elkhorn Valley (La Grande),-117.802788,45.051094,NW,16756,10
WY,Rock River I,-106.09143799999998,41.727966,NW,47145,0
WA,Lower Snake River Phase I,-117.83288600000002,46.500195,NW,32081,1
OR,Klondike I,-120.551735,45.57048,NW,28372,1
OR,Leaning Juniper II,-120.182686,45.588093,NW,29876,1
OR,Combine Hills II,-118.593987,45.948994,NW,12992,1
WA,Wild Horse I,-120.209488,47.039394,NW,60276,2
WA,Wild Horse I,-120.212784,47.052094,NW,60224,2
MT,Rim Rock,-112.048386,48.825294,NW,46679,3
WY,Evanston (Wyoming Wind Energy Center),-110.798195,41.323833,NW,17301,9
OR,Combine Hills I,-118.585754,45.929951,NW,12936,1
WA,Stateline Wind Project,-118.78109,46.003994,NW,53411,1
WA,Windy Point II,-120.825386,45.734795,NW,61157,1
MT,Glacier Wind II,-112.226685,48.559395,NW,19523,3
WY,Casper Wind Farm,-106.219688,42.883293,NW,10385,6
WA,Windy Point II (Windy Flats),-120.779839,45.727936,NW,61176,1
WA,White Creek,-120.338486,45.802994,NW,59970,1
WY,Rolling Hills,-105.843788,43.108994,NW,47366,6
MT,Horseshoe Bend/ranch pit,-111.437088,47.497292,NW,25550,8
WA,Juniper Canyon,-120.233688,45.946693,NW,27089,1
ID,Tuana Springs,-115.017189,42.888195,NW,57105,7
OR,South Hurlburt,-120.068489,45.713196,NW,52280,1
WA,Lower Snake River Phase I,-117.796387,46.483295,NW,32166,1
OR,Vansycle II,-118.596886,45.895493,NW,58338,1
OR,Horseshoe Bend,-119.958885,45.558395,NW,25460,1
WY,Roundhouse,-105.113632,41.051418,NW,48107,11
MT,Glacier Wind II,-112.22548700000002,48.562492,NW,19544,3
ID,Cold Springs,-115.459084,43.050293,NW,12749,7
WY,Glenrock,-105.83239,43.066395,NW,19682,6
ID,Cassia,-115.03669,42.844593,NW,10422,7
OR,Willow Creek,-119.989983,45.656395,NW,60714,1
WY,unknown Carbon County,-106.205193,41.618633,NW,62391,0
WA,Hopkins Ridge Wind Project,-117.774284,46.408092,NW,24839,1
WA,Wild Horse I,-120.187988,47.045895,NW,60226,2
ID,Mountain Home,-115.480385,43.058193,NW,36552,7
OR,South Hurlburt,-120.064484,45.703094,NW,52275,1
WA,Windy Point I (Tuolomne Wind Project),-120.637489,45.769695,NW,61040,1
MT,Glacier I,-112.129089,48.523994,NW,19480,3
ID,Goshen North,-111.862587,43.457195,NW,20682,5
WA,Linden,-120.798988,45.733795,NW,30550,1
