state,name,lon,lat,region,ID,cluster
MO,Lost Creek Ridge Wind Farm,-94.473991,40.021294,EM,31927,6
MN,Bent Tree,-93.468491,43.72599,EM,3463,0
IN,Goodland I,-87.44109300000002,40.703091,EM,20344,2
IA,Iowa Lakes Superior Wind,-94.988289,43.442493,EM,26268,0
IA,Storm Lake II,-95.319687,42.8466,EM,54604,0
IN,Fowler Ridge I,-87.35509499999998,40.598793,EM,18819,2
MN,Trimont Wind,-94.85939,43.76519,EM,56987,0
IL,Minonk,-88.924492,40.880493,EM,35957,2
IA,Highland I,-95.620155,43.037094,EM,24189,0
MN,Prairie Rose,-96.281792,43.797894,EM,44506,0
MI,Sigel Wind Park,-82.809692,43.868393,EM,51171,1
MI,Harvest II,-83.186295,43.780891,EM,22919,1
MN,Woodstock Hills Repower,-96.075165,43.982895,EM,61365,0
IL,Twin Groves II,-88.614944,40.455074,EM,57845,2
IA,Highland I,-95.528122,43.043663,EM,24238,0
IL,California Ridge,-87.906693,40.228291,EM,8660,2
IL,Mendota Hills Repowering,-89.036102,41.725716,EM,34256,2
MN,Bent Tree,-93.503693,43.786694,EM,3450,0
IA,Highland I,-95.587349,43.037544,EM,24263,0
WI,Forward Wind Project,-88.51619699999998,43.569492,EM,18560,4
IA,Top of Iowa,-93.403091,43.348892,EM,56524,0
IA,Ida Grove,-95.374779,42.30331,EM,25640,0
IL,Providence Heights,-89.598412,41.257492,EM,44851,2
MI,Stoney Corners II,-85.33309200000002,44.190292,EM,54336,10
IA,Storm Lake I,-95.29908,42.745552,EM,54493,0
IA,Highland I,-95.601814,43.060783,EM,24255,0
IA,Rolling Hills,-94.775093,41.222794,EM,47504,5
MN,Prairie Star,-92.634995,43.637291,EM,44560,0
MN,Bent Tree,-93.441795,43.731892,EM,3393,0
IA,Cannon II,-92.368095,42.735493,EM,9602,0
WI,Butler Ridge,-88.488091,43.411694,EM,8395,4
WI,Butler Ridge,-88.47189300000002,43.405491,EM,8414,4
MI,Minden Wind Park,-82.783295,43.640293,EM,35782,1
MN,Elm Creek II,-94.870491,43.672394,EM,16907,0
IL,Cayuga Ridge,-88.477791,40.956791,EM,10519,2
MN,Odell,-94.944847,43.86961,EM,39422,0
IL,Lee/DeKalb,-88.904198,41.768093,EM,30061,2
IN,Headwaters,-84.961067,40.098652,EM,23231,3
IL,Cayuga Ridge,-88.494293,40.958992,EM,10454,2
IN,Headwaters,-85.021927,40.090363,EM,23194,3
IN,Meadow Lake II,-87.087097,40.630093,EM,33884,2
IL,GSG Wind Farm,-89.111298,41.621891,EM,19288,2
IN,Headwaters,-85.00810200000002,40.103172,EM,23224,3
IL,Bishop Hill I,-90.139397,41.229294,EM,4395,2
MN,Prairie Star,-92.615494,43.685493,EM,44561,0
IL,Camp Grove,-89.617897,41.022694,EM,8873,2
MI,Cross Winds Energy Park,-83.498642,43.606823,EM,13836,1
MN,Lakefield,-95.152794,43.62989,EM,29153,0
MN,Bent Tree,-93.451294,43.750492,EM,3451,0
IL,Big Sky Wind,-89.345894,41.60939000000001,EM,3817,2
MO,Bluegrass Ridge,-94.509995,40.093193,EM,5970,6
IL,Hoopeston Wind,-87.791504,40.385361,EM,24702,2
IN,Fowler Ridge II,-87.404297,40.590691,EM,18916,2
IA,Whispering Willow I,-93.236694,42.645393,EM,59747,0
IN,Fowler Ridge I,-87.28009,40.566391,EM,18749,2
MN,Chanarambie,-96.0485,44.00167800000001,EM,11738,0
IL,California Ridge,-87.889893,40.213993,EM,8677,2
IA,Crystal Lake III,-93.919189,43.369892,EM,14368,0
IL,Bishop Hill I,-90.133492,41.254093,EM,4474,2
MN,Grand Meadow,-92.659294,43.738792,EM,20847,0
OH,Blue Creek,-84.58649399999999,40.969791,EM,5602,7
IN,Wildcat I,-85.838394,40.345291,EM,60452,3
IL,Cayuga Ridge,-88.424194,40.971493,EM,10551,2
IL,Pilot Hill,-88.048714,41.004532,EM,42742,2
IA,Storm Lake I,-95.299797,42.706696,EM,54405,0
IA,New Harvest,-95.435493,42.176693,EM,37221,0
IL,EcoGrove,-89.873497,42.493893,EM,16050,9
IN,Fowler Ridge I,-87.231133,40.582314,EM,18804,2
IA,Story II (aka Garden Wind),-93.360291,42.218094,EM,54821,0
IA,Storm Lake I,-95.312523,42.724731,EM,54392,0
IA,Pocahontas Prairie,-94.615295,42.601292,EM,43632,0
IA,Century,-93.639992,42.535892,EM,11523,0
IN,Hoosier,-87.220993,40.710491,EM,24766,2
MN,Nobles,-95.769989,43.651192,EM,38064,0
MN,Missouri River Energy Services (MRES),-95.675392,43.619991,EM,36002,0
IA,Pomeroy I,-94.699791,42.568092,EM,43730,0
IA,Franklin County,-93.332794,42.572792,EM,19155,0
IA,Ida Grove,-95.41185,42.292027,EM,25658,0
MI,Gratiot,-84.439491,43.452793,EM,21601,1
MI,Beebe Community Wind,-84.511894,43.269691,EM,3207,1
MN,Lake Benton II,-96.085823,44.074436,EM,28957,0
MO,Conception Wind Project,-94.662788,40.240894,EM,13062,6
IL,EcoGrove,-89.913895,42.472591,EM,16069,9
IA,Crystal Lake II,-93.894196,43.30389,EM,14330,0
IA,Rolling Hills,-94.712692,41.271893,EM,47413,5
IL,Lee/DeKalb,-88.896591,41.81369,EM,29946,2
IL,Pilot Hill,-88.106873,40.981323,EM,42685,2
MN,Grand Meadow,-92.673996,43.702591,EM,20852,0
MN,Lakefield,-95.169395,43.716991,EM,29099,0
IA,Pioneer Prairie I,-92.511093,43.481693,EM,43095,0
IA,Adair,-94.715591,41.441792,EM,40,5
MN,Elm Creek II,-94.916893,43.677593,EM,16877,0
MN,Prairie Rose,-96.260391,43.779194,EM,44495,0
MI,Lake Winds,-86.344193,43.866894,EM,29068,8
MN,Fenton,-95.974091,43.901093,EM,17674,0
IA,Pioneer Prairie I,-92.579094,43.471992,EM,43175,0
MN,Community Wind South,-95.809494,43.704693,EM,13045,0
WI,Blue Sky - Green Field,-88.23919699999998,43.868793,EM,5755,4
IA,Barton,-93.071991,43.393192,EM,2752,0
IA,Laurel,-92.989998,41.908588,EM,29636,0
MN,Elm Creek II,-94.892395,43.684391,EM,16878,0
IA,Charles City,-92.690697,43.029591,EM,11884,0
IA,Highland I,-95.547462,43.015694,EM,24073,0
IN,Fowler Ridge I,-87.241493,40.600792,EM,18684,2
IL,EcoGrove,-89.898895,42.472191,EM,16105,9
IA,Eclipse,-94.73259,41.590195,EM,15979,5
IA,Pomeroy I,-94.77739,42.62989,EM,43723,0
MN,Prairie Rose,-96.288391,43.830692,EM,44421,0
MI,Pheasant Run I,-83.26859300000002,43.76749,EM,42618,1
IL,Grand Ridge,-88.69079599999998,41.221992,EM,20909,2
IA,O'Brien,-95.617836,43.176327,EM,38851,0
IN,Goodland I,-87.450691,40.695793,EM,20346,2
MI,Minden Wind Park,-82.769897,43.64719,EM,35781,1
IN,Fowler Ridge I,-87.279495,40.589691,EM,18732,2
WI,Forward Wind Project,-88.476196,43.645893,EM,18556,4
MI,Beebe 1B,-84.523163,43.331573,EM,3173,1
