state,name,lon,lat,region,ID,cluster
OR,Biglow Canyon II,-120.64618700000001,45.665592,NW,4199,1
WY,Top of the World,-105.73728899999999,42.953293,NW,56704,6
MT,Spion Kop,-110.621086,47.348694,NW,53082,8
WA,Windy Point II,-120.82538600000001,45.734795,NW,61157,1
ID,Tuana Springs,-115.01718899999999,42.888195,NW,57105,7
WA,Big Horn 2,-120.26770800000001,45.927769,NW,3769,1
WA,Hopkins Ridge Wind Project,-117.86523400000002,46.456340999999995,NW,24840,1
OR,South Hurlburt,-120.04058799999999,45.637295,NW,52311,1
OR,Shepherds Flat,-120.11588300000001,45.751095,NW,50625,1
OR,Elkhorn Valley (La Grande),-117.804588,45.050495,NW,16784,10
MT,Rim Rock,-112.14209,48.802193,NW,46662,3
ID,Milner Dam,-114.01808899999999,42.458294,NW,35491,7
WY,Casper Wind Farm,-106.21968799999999,42.883293,NW,10385,6
OR,Vansycle I,-118.607964,45.924561,NW,58291,1
WY,unknown Carbon County,-106.205193,41.618633,NW,62391,0
OR,Stateline Wind Project,-118.69538100000001,45.981178,NW,53828,1
MT,Glacier I,-112.11188500000002,48.522594,NW,19426,3
ID,Rockland,-112.871284,42.693394,NW,47170,7
WA,Wild Horse I,-120.17698700000001,47.046696000000004,NW,60262,2
WA,Stateline Wind Project,-118.815987,46.010593,NW,53430,1
MT,Glacier Wind II,-112.22548700000002,48.562492,NW,19544,3
ID,Horse Butte,-111.72959099999999,43.386192,NW,24904,5
OR,Leaning Juniper,-120.256386,45.657394000000004,NW,29756,1
